extuserid,classcode,noOfBundles
std_1660885107650_44,jJ97-vzig,4
std_1660882700506_6,aJVR-HU63,2
std_1660883420197_17,MF84-7mhV,3
std_1660884137814_26,zV2x-eA7K,3
std_1660884240345_28,zDf9-qZXb,3
std_1660884555001_36,jyo4-63Um,3
std_1660884252046_28,zDf9-qZXb,3
std_1660884436883_34,Dw47-9u32,3
std_1660885063200_45,9wWR-ixsu,4
std_1660882862158_6,aJVR-HU63,2
std_1660883824485_21,PrKb-p7bR,3
std_1660883910860_25,h2s9-37Us,3
std_1660882677623_5,m6af-g7X3,2
std_1660883980453_24,BcBm-8t9M,3
std_1660884402564_33,YEPr-gZbZ,3
std_1660884084493_27,YCsK-m9VZ,3
std_1660883888848_22,zBDU-WfDm,3
std_1660884137074_29,L8rp-9VHh,3
std_1660883461610_18,8ehN-698d,3
std_1660882631774_5,m6af-g7X3,2
38fd6e3c98804cd1a9e0645ef118aff7,NA,4
std_1660882565684_2,6Grc-G9Bo,2
std_1660884122799_26,zV2x-eA7K,3
std_1660883958840_26,zV2x-eA7K,3
std_1660884210110_31,4w49-HRC8,3
std_1660884974527_41,7BH4-fhL4,4
std_1660885148329_47,pFtZ-7Fy7,4
std_1660884959505_43,kJmk-XG2m,4
std_1660882976273_6,aJVR-HU63,2
std_1660884797523_38,Fs3p-bkf7,4
std_1660885056471_42,puCp-yro9,4
std_1660884747329_36,jyo4-63Um,3
std_1660882714194_4,ZNuj-BHy3,2
std_1660884869634_40,pL4j-p8Hk,4
std_1660883334235_15,2B4K-Yvdn,3
std_1660884044997_27,YCsK-m9VZ,3
std_1660884253244_31,4w49-HRC8,3
std_1660885567009_50,bqLU-7c8T,4
std_1660882753093_3,2s4K-dguV,2
std_1660884450709_33,YEPr-gZbZ,3
std_1660884144265_30,crUG-BRqV,3
std_1660883155845_12,42Me-82U8,2
std_1660884526993_33,YEPr-gZbZ,3
std_1660883811533_24,BcBm-8t9M,3
std_1660883301558_11,dNtF-bp2z,3
std_1660884706164_39,8ctj-tX86,3
std_1660885336703_49,PuEP-ZVsA,4
std_1660884845084_39,8ctj-tX86,4
std_1660883640362_20,D2y8-my69,3
std_1660883000534_7,Xq3g-73UJ,2
std_1660883337277_12,42Me-82U8,3
std_1660884864374_39,8ctj-tX86,4
std_1660882935596_9,bnWn-2Cqn,2
std_1660883634342_18,8ehN-698d,3
std_1660885260950_47,pFtZ-7Fy7,4
std_1660883994394_25,h2s9-37Us,3
std_1660885008710_43,kJmk-XG2m,4
std_1660883267620_12,42Me-82U8,3
std_1660885149901_43,kJmk-XG2m,4
std_1660884402987_31,4w49-HRC8,3
std_1660884631772_36,jyo4-63Um,3
std_1660884315782_33,YEPr-gZbZ,3
std_1660883399764_16,f6q3-8264,3
std_1660882605519_1,fq4E-9dAc,2
std_1660882912254_8,vj4d-HJcx,2
std_1660884959362_41,7BH4-fhL4,4
std_1660884697782_36,jyo4-63Um,3
std_1660883423089_15,2B4K-Yvdn,3
std_1660883026464_8,vj4d-HJcx,2
std_1660884595329_34,Dw47-9u32,3
std_1660883302092_15,2B4K-Yvdn,3
std_1660883244691_14,A4kF-sLaC,2
std_1660882794653_7,Xq3g-73UJ,2
std_1660883592906_17,MF84-7mhV,3
std_1660884082253_29,L8rp-9VHh,3
std_1660885016882_42,puCp-yro9,4
std_1660883487297_17,MF84-7mhV,3
std_1660882923358_10,o3nU-Gav9,2
std_1660883586805_20,D2y8-my69,3
std_1660883922498_24,BcBm-8t9M,3
std_1660884024361_24,BcBm-8t9M,3
std_1660884827974_37,4gG8-7Myv,4
std_1660882486163_3,2s4K-dguV,2
std_1660884768700_37,4gG8-7Myv,4
std_1660882462392_1,fq4E-9dAc,2
std_1660883468525_15,2B4K-Yvdn,3
std_1660883630336_21,PrKb-p7bR,3
